Date,Open,High,Low,Close,Volume
28-Jul-15,45.58,45.64,44.79,45.34,34328948
27-Jul-15,45.94,46.01,45.25,45.35,39701420
24-Jul-15,45.91,46.32,45.80,45.94,32333244
23-Jul-15,45.27,46.23,45.10,46.11,33934010
22-Jul-15,45.44,46.93,45.20,45.54,59152427
21-Jul-15,46.78,47.33,46.48,47.28,42781899
20-Jul-15,46.65,47.13,46.44,46.92,30631905
17-Jul-15,46.55,46.78,46.26,46.62,29467107
16-Jul-15,46.01,46.69,45.96,46.66,26271673
15-Jul-15,45.68,45.89,45.43,45.76,26629615
14-Jul-15,45.45,45.96,45.31,45.62,22880260
13-Jul-15,44.98,45.62,44.95,45.54,28178329
10-Jul-15,45.01,45.14,44.57,44.61,25465757
9-Jul-15,44.75,45.22,44.50,44.52,32424672
8-Jul-15,44.44,44.90,44.03,44.24,39785901
7-Jul-15,44.34,44.49,43.32,44.30,36435827
6-Jul-15,43.96,44.48,43.95,44.39,23033961
2-Jul-15,44.48,44.75,44.06,44.40,21752013
1-Jul-15,44.46,45.23,44.10,44.44,28343907
30-Jun-15,44.71,44.72,43.94,44.15,35945384
29-Jun-15,45.04,45.23,44.36,44.37,34081746
26-Jun-15,45.65,46.28,45.03,45.26,49835287
25-Jun-15,46.03,46.06,45.50,45.65,20615995
24-Jun-15,45.67,46.24,45.55,45.64,34890901
23-Jun-15,46.13,46.28,45.62,45.91,25896473
22-Jun-15,46.33,46.72,46.16,46.23,20318055
19-Jun-15,46.79,46.82,45.99,46.10,63837036
18-Jun-15,46.22,46.80,46.17,46.72,32658343
17-Jun-15,45.73,46.07,45.36,45.97,28704061
16-Jun-15,45.35,46.24,45.30,45.83,27070306
15-Jun-15,45.45,45.65,45.02,45.48,33254517
12-Jun-15,46.22,46.47,45.90,45.97,23930972
11-Jun-15,46.66,46.92,46.13,46.44,27347758
10-Jun-15,45.79,46.83,45.69,46.61,28417405
9-Jun-15,45.76,45.94,45.46,45.65,24406057
8-Jun-15,46.30,46.43,45.67,45.73,22121634
5-Jun-15,46.31,46.52,45.84,46.14,25438086
4-Jun-15,46.79,47.16,46.20,46.36,27745512
3-Jun-15,47.37,47.74,46.82,46.85,28002154
2-Jun-15,46.93,47.35,46.62,46.92,21498326
1-Jun-15,47.06,47.77,46.62,47.23,28837332
29-May-15,47.43,47.57,46.59,46.86,36519594
28-May-15,47.50,48.02,47.39,47.45,19283666
27-May-15,46.82,47.77,46.62,47.61,27335639
26-May-15,46.83,46.88,46.19,46.59,29581860
22-May-15,47.30,47.35,46.82,46.90,25720583
21-May-15,47.28,47.60,47.00,47.42,22410698
20-May-15,47.39,47.93,47.27,47.58,25047919
19-May-15,47.56,47.81,47.18,47.58,28574813
18-May-15,47.98,48.22,47.61,48.01,24136502
15-May-15,48.87,48.90,48.05,48.30,28642694
14-May-15,48.03,48.82,48.03,48.72,32980892
13-May-15,48.19,48.32,47.57,47.62,34184613
12-May-15,46.85,47.68,46.42,47.35,29928264
11-May-15,47.55,47.91,47.37,47.37,24609416
8-May-15,47.55,47.98,47.52,47.75,35364911
7-May-15,46.27,47.08,46.16,46.70,32971654
6-May-15,47.57,47.77,46.02,46.28,52433020
5-May-15,47.82,48.16,47.31,47.60,50369191
4-May-15,48.37,48.87,48.18,48.24,34039485
1-May-15,48.58,48.88,48.40,48.66,38937336
30-Apr-15,48.70,49.54,48.60,48.64,64725457
29-Apr-15,48.72,49.31,48.50,49.06,47804562
28-Apr-15,47.78,49.21,47.70,49.16,60730778
27-Apr-15,47.23,48.13,47.22,48.03,59248172
24-Apr-15,45.66,48.14,45.65,47.87,130933665
23-Apr-15,42.89,43.61,42.80,43.34,46309530
22-Apr-15,42.67,43.13,42.55,42.98,25064273
21-Apr-15,43.00,43.15,42.53,42.64,26013844
20-Apr-15,41.73,43.17,41.68,42.90,46057733
17-Apr-15,41.67,41.74,41.16,41.62,42387608
16-Apr-15,41.95,42.34,41.82,42.16,22509652
15-Apr-15,41.76,42.46,41.68,42.26,27343581
14-Apr-15,41.80,42.03,41.39,41.65,24244382
13-Apr-15,41.40,42.06,41.39,41.76,30276692
10-Apr-15,41.63,41.95,41.41,41.72,28022002
9-Apr-15,41.25,41.62,41.25,41.48,25723861
8-Apr-15,41.46,41.69,41.04,41.42,24753438
7-Apr-15,41.61,41.91,41.31,41.53,28809375
6-Apr-15,40.34,41.78,40.18,41.54,39223692
2-Apr-15,40.66,40.74,40.12,40.29,37487476
1-Apr-15,40.60,40.76,40.31,40.72,36865322
31-Mar-15,40.78,41.03,40.54,40.66,34887219
30-Mar-15,41.10,41.54,40.91,40.96,35049662
27-Mar-15,41.12,41.43,40.83,40.97,34401398
26-Mar-15,41.22,41.61,40.92,41.21,37495627
